Team,Conf,Div,SP+,HFACW,TAN 25,TAN 26,Coach,SOW,TARP,TEAM_MEAD,TEAM_NAME2,TEAM_ID,Team Total,HC,OC,DC,TAN_Rank
Tennessee,SEC,,16,2.2,84.5,80,,1,4.5,TEN,Tennessee,271,33.8,Josh Heupel,Joey Halzle,Tim Banks,18
Utah,B12,,11.9,3.1,89.5,79.5,-1.5,-0.8,2.5,UTAH,Utah,332,34.7,Morgan Scalley,Kevin McGiven,Colton Swan,19
South Carolina,SEC,,12.1,2.8,77.5,79,1,0.8,9.5,SCAR,South Carolina,514,21.5,Shane Beamer,Kendal Briles,Clayton White,20
Alabama,SEC,,18.2,3.3,91.5,78,,-1.6,-2,ALA,Alabama,328,23.6,Kalen DeBoer,Ryan Grubb,Kane Wommack,21
BYU,B12,,15.5,3,81.5,78,,-2.1,8,BYU,BYU,277,25.5,Kalani Sitake,Aaron Roderick,Kelly Poppinga,21
Florida State,ACC,,8.8,1.9,80.5,77.5,,2.2,5,FLST,Florida State,266,32.2,Mike Norvell,Tim Harris,Tony White,23
Washington,B1G,,14.5,2.2,83.5,77.5,,0.9,3,WAS,Washington,320,28,Jedd Fisch,Jimmie Dougherty,Ryan Walters,23
SMU,ACC,,10.9,2.7,80.5,77.5,,1.4,5.5,SMU,SMU,280,29.9,Rhett Lashlee,Casey Woods,Scott Symons,23
Kansas State,B12,,10.4,2.8,79,76.5,1,1.5,5,KAST,Kansas State,503,24.4,Collin Klein,Sean Gleeson,Jordan Peterson,26
Missouri,SEC,,14.8,2.8,86.5,75.5,-1.5,0.9,-0.5,MIZ,Missouri,309,27.7,Eliah Drinkwitz,Chip Lindsey,Corey Batoon,27
Arkansas,SEC,,5,2.2,78.5,74.5,-3,3.7,6,ARK,Arkansas,329,30,Ryan Silverfield,Tim Cramsey,Ron Roberts,28
Vanderbilt,SEC,,10,2.4,88.5,74.5,,-0.4,-4,VAN,Vanderbilt,315,29.4,Clark Lea,Timothy Beck,Clark Lea,28
Wisconsin,B1G,,1.8,2.4,74,74,,-0.4,11,WIS,Wisconsin,338,14.2,Luke Fickell,Jeff Grimes,Mike Tressel,30
Nebraska,B1G,,7.7,2,73,73.5,,-0.3,11,NEB,Nebraska,331,22.9,Matt Rhule,Dana Holgorsen,John Butler,31
Arizona,B12,,10.2,2.2,83.5,73,,0.1,-1,ARZ,Arizona,506,27.1,Brent Brennan,Seth Doege,Danny Gonzales,32
